Trace;816;433
Trace;1180;663
Trace;1179;662
Trace;1177;662
Trace;1175;660
Trace;1169;656
Trace;1156;641
Trace;1142;621
Trace;1108;570
Trace;1070;522
Trace;1036;486
Trace;994;434
Trace;978;413
Trace;977;409
Trace;977;406
Trace;980;404
Trace;996;400
Trace;1009;396
Trace;1038;391
Trace;1057;388
Trace;1093;384
Trace;1110;383
Trace;1128;383
Trace;1161;381
Trace;1179;381
Trace;1217;381
Trace;1240;381
Trace;1265;382
Trace;1317;384
Trace;1362;388
Trace;1380;390
Trace;1399;391
Trace;1430;394
Trace;1445;397
Trace;1465;405
Trace;1474;409
Trace;1478;412
Trace;1484;417
Trace;1485;419
Trace;1486;420
Trace;1489;424
Trace;1494;433
Trace;1499;441
Trace;1507;450
Trace;1534;476
Trace;1542;482
Trace;1548;487
Trace;1552;489
Trace;1553;489
Trace;1554;489
Trace;1557;487
Trace;1561;485
Trace;1572;479
Trace;1581;477
Trace;1618;466
Trace;1628;464
Trace;1640;463
Trace;1648;463
Trace;1657;463
Trace;1672;463
Trace;1680;463
Trace;1692;463
Trace;1707;465
Trace;1722;468
Trace;1748;473
Trace;1767;474
Trace;1793;477
Trace;1799;477
Trace;1806;477
Trace;1809;477
Trace;1810;478
Trace;1809;478
Trace;1808;478
Trace;1806;478
Trace;1802;478
Trace;1793;478
Trace;1778;478
Trace;1763;476
Trace;1755;476
Trace;1746;476
Trace;1724;476
Trace;1699;477
Trace;1671;479
Trace;1657;479
Trace;1656;479
Trace;1654;479
Trace;1617;466
Trace;1495;421
Trace;1443;402
Trace;1349;372
Trace;1248;345
Trace;1197;331
Trace;1143;317
Trace;1058;285
Trace;1013;269
Trace;947;242
Trace;922;229
Trace;899;219
Hit;1707;465
Target;832;172;2;1;1;0
Target;920;172;2;1;1;0
Target;920;245;2;1;1;0
Target;832;245;2;1;1;0
Target;832;172;2;1;1;0
TriangleFitts;1707;465;2;44829,5;
TriangleFitts;832;245;2;
TriangleFitts;920;172;2;
TriangleFitts;1707;465;2;
TriangleFitts;1707;465;3;44829,5;
TriangleFitts;832;245;3;
TriangleFitts;920;172;3;
TriangleFitts;1707;465;3;
OldFitts;832;194;2;9,45583e-303;3,9519e-308
OldFitts;876;208;2
Trace;889;213
Trace;881;208
Trace;878;205
Trace;880;204
Trace;882;204
Trace;885;204
Trace;886;204
Trace;887;204
Trace;889;204
Trace;890;204
Trace;892;205
Trace;896;206
Trace;898;207
Trace;900;209
Trace;903;210
Trace;904;211
Trace;905;211
Trace;906;212
Trace;907;213
Trace;908;213
Trace;909;213
Trace;910;214
Trace;911;216
Trace;913;216
Trace;915;217
Trace;917;218
Trace;924;222
Trace;931;224
Trace;942;227
Trace;971;236
Trace;995;243
Trace;1027;254
Trace;1062;269
Trace;1097;283
Trace;1159;311
Trace;1195;328
Trace;1261;358
Trace;1297;375
Trace;1336;392
Trace;1401;423
Trace;1436;435
Trace;1467;444
Trace;1511;458
Hit;899;219
Target;1494;437;3;1;1;0
Target;1560;437;3;1;1;0
Target;1560;480;3;1;1;0
Target;1494;480;3;1;1;0
Target;1494;437;3;1;1;0
TriangleFitts;899;219;4;22824,5;
TriangleFitts;1560;437;4;
TriangleFitts;1494;480;4;
TriangleFitts;899;219;4;
ExtraTriangleFitts;899;219;2;23670,6;
ExtraTriangleFitts;1707;465;2;
ExtraTriangleFitts;1560;437;2;
ExtraTriangleFitts;899;219;2;
TriangleFitts;899;219;5;23670,6;
TriangleFitts;1560;437;5;
TriangleFitts;1494;480;5;
TriangleFitts;899;219;5;
OldFitts;1494;445;3;9,45583e-303;3,9519e-308
OldFitts;1527;458;3
Trace;1525;460
Trace;1541;462
Trace;1547;462
Trace;1549;462
Trace;1550;462
Trace;1550;461
Trace;1550;460
Trace;1550;459
Trace;1550;458
Trace;1549;456
Trace;1547;454
Trace;1545;450
Trace;1550;452
Trace;1557;454
Trace;1539;451
Trace;1488;451
Trace;1422;458
Trace;1369;472
Trace;1298;489
Hit;1511;458
Target;1285;483;4;1;1;0
Target;1363;483;4;1;1;0
Target;1363;568;4;1;1;0
Target;1285;568;4;1;1;0
Target;1285;483;4;1;1;0
TriangleFitts;1511;458;6;13895;
TriangleFitts;1363;568;6;
TriangleFitts;1285;483;6;
TriangleFitts;1511;458;6;
ExtraTriangleFitts;1511;458;3;20313,3;
ExtraTriangleFitts;899;219;3;
ExtraTriangleFitts;1363;568;3;
ExtraTriangleFitts;1511;458;3;
TriangleFitts;1511;458;7;20313,3;
TriangleFitts;1363;568;7;
TriangleFitts;1285;483;7;
TriangleFitts;1511;458;7;
OldFitts;1285;538;4;9,45583e-303;3,9519e-308
OldFitts;1324;525;4
Trace;1263;504
Trace;1257;507
Trace;1257;508
Trace;1257;509
Trace;1257;510
Trace;1257;512
Trace;1257;513
Trace;1255;515
Trace;1252;521
Trace;1249;523
Trace;1248;525
Trace;1248;526
Trace;1248;527
Trace;1247;527
